us	na
india	as
brazil	sa
russia	as
france	e
spain	e
argentina	sa
colombia	sa
uk	e
mexico	na
peru	sa
south-africa	af
italy	e
iran	as
germany	e
chile	sa
iraq	as
belgium	e
indonesia	as
bangladesh	as
ukraine	e
philippines	as
poland	e
turkey	e
netherlands	e
saudi-arabia	as
czech-republic	e
pakistan	as
romania	e
canada	na
morocco	af
nepal	as
ecuador	sa
switzerland	e
portugal	e
bolivia	sa
panama	na
united-arab-emirates	as
dominican-republic	na
kuwait	as
sweden	e
oman	as
kazakhstan	as
costa-rica	na
austria	e
guatemala	na
egypt	af
japan	as
belarus	e
honduras	na
ethiopia	af
armenia	e
venezuela	sa
lebanon	e
bahrain	as
hungary	e
moldova	e
jordan	as
uzbekistan	as
paraguay	sa
nigeria	af
libya	af
ireland	e
tunisia	af
slovakia	e
kyrgyzstan	as
algeria	af
singapore	as
azerbaijan	as
kenya	af
bulgaria	e
state-of-palestine	as
myanmar	as
bosnia-and-herzegovina	e
croatia	e
serbia	e
ghana	af
denmark	e
afghanistan	as
greece	e
georgia	as
slovenia	e
el-salvador	na
malaysia	as
macedonia	e
australia	oc
south-korea	as
cameroon	af
albania	e
cote-d-ivoire	af
norway	e
luxembourg	e
montenegro	e
madagascar	af
zambia	af
finland	e
lithuania	e
senegal	af
sudan	af
namibia	af
mozambique	af
uganda	af
guinea	af
maldives	as
democratic-republic-of-the-congo	af
sri-lanka	as
tajikistan	as
angola	af
french-guiana	sa
jamaica	na
haiti	na
gabon	af
cabo-verde	af
zimbabwe	af
mauritania	af
guadeloupe	na
french-polynesia	oc
cuba	na
bahamas	na
botswana	af
malta	e
latvia	e
malawi	af
swaziland	af
syria	as
trinidad-and-tobago	na
reunion	af
djibouti	af
nicaragua	na
china-hong-kong-sar	as
congo	af
suriname	sa
rwanda	af
equatorial-guinea	af
estonia	e
iceland	e
central-african-republic	af
andorra	e
cyprus	e
aruba	na
mayotte	af
guyana	sa
somalia	af
thailand	as
gambia	af
mali	af
martinique	na
belize	na
uruguay	sa
south-sudan	af
benin	af
burkina-faso	af
guinea-bissau	af
sierra-leone	af
togo	af
yemen	as
lesotho	af
chad	af
liberia	af
niger	af
viet-nam	as
curacao	na
sao-tome-and-principe	af
san-marino	e
channel-islands	e
sint-maarten	na
turks-and-caicos-islands	na
gibraltar	e
papua-new-guinea	oc
burundi	af
saint-martin	na
taiwan	as
liechtenstein	e
comoros	af
tanzania	af
faeroe-islands	e
eritrea	af
mauritius	af
monaco	e
isle-of-man	e
bhutan	as
mongolia	as
cambodia	as
cayman-islands	na
barbados	na
bermuda	na
caribbean-netherlands	na
seychelles	af
brunei-darussalam	as
antigua-and-barbuda	na
saint-lucia	na
saint-barthelemy	na
saint-vincent-and-the-grenadines	na
british-virgin-islands	na
dominica	na
china-macao-sar	as
fiji	oc
timor-leste	as
grenada	na
new-caledonia	oc
holy-see	e
laos	as
saint-kitts-and-nevis	na
greenland	na
saint-pierre-and-miquelon	na
montserrat	na
falkland-islands-malvinas	sa
western-sahara	af
solomon-islands	oc
anguilla	na
marshall-islands	oc
wallis-and-futuna-islands	oc
israel	as
qatar	as
china	as
new-zealand	oc