california	pa
texas	sw
florida	se
new-york	ne
pennsylvania	ne
illinois	mw
ohio	mw
georgia	se
north-carolina	se
michigan	mw
new-jersey	ne
virginia	se
washington	pa
arizona	sw
massachusetts	ne
tennessee	se
indiana	mw
missouri	mw
maryland	ne
wisconsin	mw
colorado	ro
minnesota	mw
south-carolina	se
alabama	se
louisiana	se
kentucky	se
oregon	pa
oklahoma	sw
connecticut	ne
utah	ro
iowa	mw
nevada	ro
arkansas	se
mississippi	se
kansas	mw
new-mexico	sw
nebraska	mw
west-virginia	se
idaho	ro
hawaii	pa
new-hampshire	ne
maine	ne
montana	ro
rhode-island	ne
delaware	ne
south-dakota	mw
north-dakota	mw
alaska	pa
district-of-columbia	ne
vermont	ne
wyoming	ro